City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,nova sintra,14.8667,-24.7167,26.5,84,100,5.74,CV,1724983468
153,tazacorte,28.629,-17.9293,21.54000000000002,76,0,4.63,ES,1724983469
154,kutum,14.2,24.6667,21.590000000000032,80,100,2.29,SD,1724983470
155,lihue,21.9789,-159.3672,27.77000000000004,76,75,6.17,US,1724983471
156,chon buri,13.3,101.3,28.08000000000004,51,91,4.54,TH,1724983472
157,windsor,42.3001,-83.0165,23.870000000000005,93,0,2.57,CA,1724983353
158,rongelap,11.1635,166.8941,28.730000000000018,78,93,6.61,MH,1724983474
159,susuman,62.7833,148.1667,7.170000000000016,89,100,0.89,RU,1724983475
160,walvis bay,-22.9575,14.5053,10.610000000000014,85,0,1.43,NA,1724983477
161,kapuskasing,49.4169,-82.4331,15.0,63,75,3.6,CA,1724983478
162,yuzhno-kurilsk,44.0306,145.8556,21.58000000000004,87,70,4.01,RU,1724983479
163,yellowknife,62.456,-114.3525,15.310000000000002,88,75,1.54,CA,1724983480
164,nadi,-17.8,177.4167,27.0,57,20,5.66,FJ,1724983481
165,vadso,70.0744,29.7487,13.090000000000032,88,75,3.6,NO,1724983482
166,arafat,39.0344,44.6198,14.770000000000039,69,0,0.22,IR,1724983483
167,acapulco de juarez,16.8634,-99.8901,25.600000000000023,78,100,1.1,MX,1724983260
168,moyamba,8.1667,-12.4333,22.310000000000002,99,69,1.15,SL,1724983485
169,port mathurin,-19.6833,63.4167,22.110000000000014,66,64,11.17,MU,1724983283
170,georgetown,5.4112,100.3354,29.970000000000027,78,20,3.6,MY,1724983280
171,sitka,57.0531,-135.33,12.939999999999998,88,100,2.57,US,1724983489
172,enewetak,11.3474,162.3373,28.890000000000043,75,77,4.81,MH,1724983460
173,hoshcha,50.6003,26.6744,18.25,42,24,3.45,UA,1724983491
174,orshanka,56.9161,47.8933,11.810000000000002,76,3,1.7,RU,1724983492
175,nemuro,43.3236,145.575,20.110000000000014,94,62,5.62,JP,1724983493
176,olonkinbyen,70.9221,-8.7187,6.5400000000000205,76,89,4.74,SJ,1724983494
177,north bend,43.4065,-124.2243,19.53000000000003,72,0,5.14,US,1724983495
178,vilyuchinsk,52.9306,158.4028,22.150000000000034,73,89,2.33,RU,1724983496
179,moyale,3.5167,39.0584,18.460000000000036,73,0,4.31,KE,1724983497
180,linxia chengguanzhen,35.6003,103.2064,22.689999999999998,66,100,1.18,CN,1724983498
181,kawambwa,-9.7915,29.0791,19.689999999999998,37,69,2.55,ZM,1724983501
182,tolanaro,-25.0319,46.9987,20.04000000000002,83,0,6.17,MG,1724983502
183,new plymouth,-39.0667,174.0833,12.950000000000045,100,19,5.44,NZ,1724983503
184,san patricio,28.017,-97.5169,28.970000000000027,71,12,5.07,US,1724983504
185,homestead meadows south,31.811,-106.1643,30.730000000000018,32,31,7.35,US,1724983505
186,male,4.1748,73.5089,28.970000000000027,84,75,6.17,MV,1724983506
187,serdar,38.9764,56.2757,20.370000000000005,30,0,4.03,TM,1724983507
188,huarmey,-10.0681,-78.1522,16.850000000000023,83,44,5.54,PE,1724983508
189,gurupi,-11.7292,-49.0686,26.79000000000002,42,1,4.76,BR,1724983246
190,lerwick,60.1545,-1.1494,11.170000000000016,92,26,7.65,GB,1724983510
191,brookings,44.3114,-96.7984,19.140000000000043,82,0,2.06,US,1724983512
192,tevriz,57.509,72.4042,10.260000000000048,94,100,2.16,RU,1724983513
193,carmelo,-33.9892,-58.2856,10.25,94,100,5.26,UY,1724983514
194,san antonio de pale,-1.4014,5.6325,24.379999999999995,78,98,3.98,GQ,1724983282
195,fraijanes,14.4653,-90.4408,19.210000000000036,89,75,2.06,GT,1724983517
196,porto novo,6.4965,2.6036,24.110000000000014,89,100,4.02,BJ,1724983518
197,danao,10.5208,124.0272,29.03000000000003,67,100,1.8,PH,1724983519
198,kidal,18.4411,1.4078,31.460000000000036,42,12,2.24,ML,1724983521
199,tsiombe,-25.3,45.4833,19.210000000000036,90,12,1.39,MG,1724983522
200,namsos,64.4662,11.4957,11.950000000000045,94,40,1.54,NO,1724983523
201,st. john's,47.5649,-52.7093,12.760000000000048,77,75,5.14,CA,1724983229
202,tanout,14.9709,8.8879,26.939999999999998,69,100,5.75,NE,1724983525
203,chernyshevsk,52.5243,117.0174,19.150000000000034,33,0,4.53,RU,1724983526
204,arteche,12.2645,125.4048,31.710000000000036,61,100,2.07,PH,1724983527
205,invercargill,-46.4,168.35,11.120000000000005,74,72,3.58,NZ,1724983528
206,ra's bayrut,33.9,35.4833,27.810000000000002,57,40,3.09,LB,1724983529
207,college,64.8569,-147.8028,15.990000000000009,68,75,5.14,US,1724983531
208,dzilam gonzalez,21.2833,-88.9333,24.730000000000018,94,100,1.55,MX,1724983532
209,iskateley,67.6803,53.1512,7.020000000000039,65,100,5.72,RU,1724983520
210,rosarito,32.3333,-117.0333,20.510000000000048,77,0,3.65,MX,1724983534
211,port lincoln,-34.7333,135.8667,15.740000000000009,54,5,11.98,AU,1724983535
212,remire-montjoly,4.9167,-52.2667,24.02000000000004,94,0,1.03,GF,1724983536
213,mirriah,13.7073,9.1501,23.180000000000007,89,100,6.47,NE,1724983537
214,ternate,0.8,127.4,24.370000000000005,87,100,1.59,ID,1724983540
215,kavalerovo,44.2661,135.0572,25.82000000000005,48,100,1.88,RU,1724983542
216,salinopolis,-0.6136,-47.3561,26.629999999999995,81,8,5.54,BR,1724983544
217,qaisumah,28.3112,46.1273,28.980000000000018,17,0,2.57,SA,1724983545
